[ -3.3980e-02 -1.0443e+00 -1.7015e+00 -8.1645e-01 ] [ -2.3699e-01 -1.3248e+00 -9.5205e-01 -5.3836e-02 -4.4049e-01 -2.8021e-01 -6.1553e-01 ] -9.19995e-02 6.60244e-01 -2.56272e+00
[ -3.8341e-02 -1.0189e+00 -1.6539e+00 -8.0189e-01 ] [ -2.3737e-01 -1.2895e+00 -9.2607e-01 -5.7884e-02 -4.3474e-01 -2.8117e-01 -6.0593e-01 ] -8.77475e-02 6.58684e-01 -2.47205e+00
[ -4.2619e-02 -9.9326e-01 -1.6061e+00 -7.8722e-01 ] [ -2.3766e-01 -1.2540e+00 -8.9991e-01 -6.1848e-02 -4.2889e-01 -2.8204e-01 -5.9622e-01 ] -8.34869e-02 6.57047e-01 -2.38108e+00
[ -4.6819e-02 -9.6750e-01 -1.5581e+00 -7.7244e-01 ] [ -2.3787e-01 -1.2183e+00 -8.7359e-01 -6.5736e-02 -4.2295e-01 -2.8286e-01 -5.8642e-01 ] -7.92697e-02 6.55365e-01 -2.28984e+00
[ -5.0953e-02 -9.4163e-01 -1.5099e+00 -7.5760e-01 ] [ -2.3802e-01 -1.1825e+00 -8.4713e-01 -6.9559e-02 -4.1693e-01 -2.8362e-01 -5.7654e-01 ] -7.51382e-02 6.53672e-01 -2.19836e+00
[ -5.5030e-02 -9.1568e-01 -1.4616e+00 -7.4272e-01 ] [ -2.3813e-01 -1.1465e+00 -8.2056e-01 -7.3327e-02 -4.1087e-01 -2.8435e-01 -5.6663e-01 ] -7.11251e-02 6.51995e-01 -2.10668e+00
[ -5.9064e-02 -8.8966e-01 -1.4132e+00 -7.2781e-01 ] [ -2.3821e-01 -1.1105e+00 -7.9390e-01 -7.7054e-02 -4.0477e-01 -2.8507e-01 -5.5668e-01 ] -6.72535e-02 6.50357e-01 -2.01482e+00
[ -6.3068e-02 -8.6361e-01 -1.3648e+00 -7.1291e-01 ] [ -2.3828e-01 -1.0744e+00 -7.6718e-01 -8.0752e-02 -3.9866e-01 -2.8580e-01 -5.4673e-01 ] -6.35371e-02 6.48779e-01 -1.92283e+00
[ -6.7054e-02 -8.3755e-01 -1.3163e+00 -6.9802e-01 ] [ -2.3834e-01 -1.0384e+00 -7.4043e-01 -8.4436e-02 -3.9254e-01 -2.8653e-01 -5.3679e-01 ] -5.99809e-02 6.47274e-01 -1.83073e+00
[ -7.1037e-02 -8.1150e-01 -1.2678e+00 -6.8317e-01 ] [ -2.3842e-01 -1.0023e+00 -7.1366e-01 -8.8117e-02 -3.8644e-01 -2.8729e-01 -5.2688e-01 ] -5.65822e-02 6.45854e-01 -1.73855e+00
[ -7.5028e-02 -7.8548e-01 -1.2194e+00 -6.6837e-01 ] [ -2.3852e-01 -9.6620e-01 -6.8689e-01 -9.1810e-02 -3.8037e-01 -2.8809e-01 -5.1701e-01 ] -5.33315e-02 6.44525e-01 -1.64633e+00
[ -7.9040e-02 -7.5950e-01 -1.1710e+00 -6.5363e-01 ] [ -2.3865e-01 -9.3017e-01 -6.6015e-01 -9.5525e-02 -3.7434e-01 -2.8893e-01 -5.0718e-01 ] -5.02132e-02 6.43291e-01 -1.55409e+00
[ -8.3084e-02 -7.3358e-01 -1.1226e+00 -6.3896e-01 ] [ -2.3884e-01 -8.9422e-01 -6.3346e-01 -9.9274e-02 -3.6836e-01 -2.8983e-01 -4.9742e-01 ] -4.72068e-02 6.42153e-01 -1.46186e+00
[ -8.7171e-02 -7.0774e-01 -1.0744e+00 -6.2437e-01 ] [ -2.3907e-01 -8.5834e-01 -6.0684e-01 -1.0307e-01 -3.6244e-01 -2.9078e-01 -4.8773e-01 ] -4.42875e-02 6.41107e-01 -1.36967e+00
[ -9.1310e-02 -6.8198e-01 -1.0262e+00 -6.0986e-01 ] [ -2.3937e-01 -8.2256e-01 -5.8029e-01 -1.0691e-01 -3.5659e-01 -2.9181e-01 -4.7811e-01 ] -4.14272e-02 6.40150e-01 -1.27756e+00
[ -9.5510e-02 -6.5632e-01 -9.7820e-01 -5.9544e-01 ] [ -2.3973e-01 -7.8689e-01 -5.5385e-01 -1.1082e-01 -3.5081e-01 -2.9289e-01 -4.6857e-01 ] -3.85944e-02 6.39274e-01 -1.18554e+00
[ -9.9779e-02 -6.3078e-01 -9.3033e-01 -5.8111e-01 ] [ -2.4017e-01 -7.5134e-01 -5.2751e-01 -1.1480e-01 -3.4511e-01 -2.9405e-01 -4.5912e-01 ] -3.57550e-02 6.38473e-01 -1.09365e+00
[ -1.0413e-01 -6.0535e-01 -8.8261e-01 -5.6687e-01 ] [ -2.4069e-01 -7.1593e-01 -5.0130e-01 -1.1885e-01 -3.3950e-01 -2.9529e-01 -4.4976e-01 ] -3.28721e-02 6.37735e-01 -1.00191e+00
[ -1.0856e-01 -5.8005e-01 -8.3505e-01 -5.5273e-01 ] [ -2.4129e-01 -6.8067e-01 -4.7524e-01 -1.2299e-01 -3.3399e-01 -2.9660e-01 -4.4049e-01 ] -2.99062e-02 6.37050e-01 -9.10353e-01
[ -1.1308e-01 -5.5489e-01 -7.8769e-01 -5.3870e-01 ] [ -2.4198e-01 -6.4557e-01 -4.4932e-01 -1.2722e-01 -3.2857e-01 -2.9799e-01 -4.3132e-01 ] -2.68146e-02 6.36406e-01 -8.19005e-01
[ -1.1771e-01 -5.2987e-01 -7.4052e-01 -5.2476e-01 ] [ -2.4275e-01 -6.1063e-01 -4.2358e-01 -1.3155e-01 -3.2325e-01 -2.9945e-01 -4.2225e-01 ] -2.35517e-02 6.35789e-01 -7.27895e-01
[ -1.2244e-01 -5.0501e-01 -6.9356e-01 -5.1092e-01 ] [ -2.4363e-01 -5.7589e-01 -3.9802e-01 -1.3598e-01 -3.1804e-01 -3.0099e-01 -4.1328e-01 ] -2.00676e-02 6.35184e-01 -6.37051e-01
[ -1.2728e-01 -4.8030e-01 -6.4683e-01 -4.9717e-01 ] [ -2.4460e-01 -5.4133e-01 -3.7266e-01 -1.4053e-01 -3.1294e-01 -3.0262e-01 -4.0441e-01 ] -1.63088e-02 6.34576e-01 -5.46502e-01
[ -1.3225e-01 -4.5577e-01 -6.0033e-01 -4.8353e-01 ] [ -2.4568e-01 -5.0698e-01 -3.4750e-01 -1.4519e-01 -3.0796e-01 -3.0432e-01 -3.9564e-01 ] -1.22166e-02 6.33945e-01 -4.56279e-01
